motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr16:8829689-8830189	775	6.68154	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr18:32716207-32716707	845	6.67663	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr10:61720974-61721474	516	6.66926	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:117587452-117587952	262	6.66578	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:118933399-118933899_shuf_1	1169	6.65873	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr16:8829689-8830189_shuf_2	2583	6.65727	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr3:51034099-51034599	117	6.64003	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr9:104996244-104996744_shuf_2	2277	6.62518	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:118293095-118293595	183	6.61498	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:155335983-155336483	221	6.61148	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr9:70682445-70682945_shuf_2	2271	6.60814	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr6:34428672-34429172	295	6.59317	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr3:96232774-96233274_shuf_1	1036	6.58435	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:148354572-148355072_shuf_1	1301	6.58229	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr13:107890787-107891287_shuf_2	2497	6.57274	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr18:32719455-32719955_shuf_1	1750	6.5646	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr15:79757889-79758389_shuf_2	2561	6.56163	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:77795182-77795682_shuf_2	2380	6.54441	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr3:60623494-60623994	120	6.54337	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr15:103088527-103089027_shuf_2	2575	6.541	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:96817328-96817828	588	6.54065	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr8:107486055-107486555	428	6.53722	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr14:63796625-63797125_shuf_2	2526	6.52285	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr2:103324306-103324806_shuf_1	984	6.52078	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:132806562-132807062_shuf_2	2006	6.51316	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr6:146178949-146179449_shuf_1	1239	6.51075	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr15:79757889-79758389	753	6.50435	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr14:51549489-51549989_shuf_2	2518	6.50282	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr14:21299128-21299628	701	6.49983	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr18:62120156-62120656	855	6.49293	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr17:28960250-28960750	813	6.49226	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:99087546-99088046	591	6.48884	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr9:59598184-59598684	455	6.48817	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:71081136-71081636	363	6.48814	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr1:181078664-181079164	48	6.48805	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:139915431-139915931	392	6.48709	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr12:117249633-117250133	650	6.48605	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:86884669-86885169_shuf_1	1269	6.48419	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr6:142838754-142839254_shuf_1	1235	6.48043	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:118863134-118863634	186	6.48004	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:135179213-135179713_shuf_1	1107	6.47991	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr13:34169859-34170359_shuf_1	1563	6.4798	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr5:130455803-130456303	272	6.47952	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr17:25716182-25716682	809	6.47941	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr18:85054317-85054817_shuf_1	1771	6.47916	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr14:119195310-119195810	729	6.47845	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr4:151104034-151104534	212	6.47811	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr17:87913076-87913576	839	6.47772	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr15:73573402-73573902_shuf_2	2554	6.47711	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr7:86884669-86885169_shuf_2	2173	6.47647	fp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr11:121295411-121295911	612	6.47629	tp
JASPAR2018_CORE_non-redundant.meme	MA0004.1	Arnt	chr15:82060181-82060681	757	6.4762	tp
#
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:72229419-72229919_shuf_1	1213	5.95934	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr16:49839619-49840119	790	5.76602	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:51109537-51110037	411	5.76103	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:58030199-58030699	558	5.36672	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:9588076-9588576_shuf_1	1060	5.20854	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr10:25440009-25440509_shuf_2	2307	5.00602	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:112446980-112447480	692	4.92109	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr1:77295120-77295620	17	4.88367	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:30811841-30812341_shuf_2	1922	4.7407	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr1:90207102-90207602_shuf_1	926	4.69462	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:112511937-112512437_shuf_2	2501	4.66945	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:82836058-82836558_shuf_1	1770	4.64806	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:100351338-100351838_shuf_1	1038	4.63909	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:144850418-144850918_shuf_1	1237	4.58043	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:5220409-5220909_shuf_2	1862	4.55305	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:56860898-56861398_shuf_1	1208	4.52687	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:116856335-116856835_shuf_2	2457	4.49875	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:155437820-155438320	100	4.49446	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:17334950-17335450	222	4.48236	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:109948098-109948598	432	4.45881	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:132413556-132414056	326	4.42281	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:17246025-17246525_shuf_2	2423	4.3096	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:101244827-101245327	369	4.29184	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:122090758-122091258_shuf_1	994	4.28754	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr1:43307688-43308188_shuf_2	1819	4.181	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:57695285-57695785	306	4.14811	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:41846174-41846674	622	4.12178	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:104996244-104996744_shuf_2	2277	4.09579	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chrX:146984102-146984602_shuf_2	2300	4.0895	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:91033420-91033920_shuf_1	1271	4.05447	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:112796792-112797292	644	4.05336	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:32716207-32716707_shuf_2	2653	4.0121	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:71137137-71137637_shuf_2	2220	3.99583	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:73612723-73613223_shuf_1	1580	3.97752	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:38866491-38866991_shuf_2	2108	3.93417	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:76585118-76585618_shuf_1	1076	3.88957	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:38053518-38054018_shuf_1	972	3.82168	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr10:24547930-24548430	496	3.80702	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:16604492-16604992	55	3.79034	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr14:65307370-65307870_shuf_1	1623	3.72801	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:52304246-52304746_shuf_1	973	3.7117	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:51034099-51034599_shuf_1	1021	3.6192	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:132413556-132414056_shuf_1	1230	3.61782	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:40980319-40980819_shuf_2	2255	3.57392	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:24254794-24255294	409	3.56613	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:107640798-107641298_shuf_2	2186	3.55195	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:45499432-45499932_shuf_1	1568	3.54147	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:8295404-8295904	291	3.52803	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr10:126642275-126642775_shuf_2	2337	3.48243	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:65348108-65348608	674	3.43709	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:48582635-48583135	452	3.38765	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:144579742-144580242_shuf_2	2093	3.37446	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr15:22324756-22325256	731	3.32111	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:115468248-115468748	259	3.31512	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:57137386-57137886_shuf_1	1755	3.30157	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:54679507-54680007	554	3.29508	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr14:55043396-55043896	711	3.29432	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:110018190-110018690	641	3.2857	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:155335983-155336483	221	3.28526	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:86427474-86427974	575	3.26848	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:46609847-46610347	169	3.24723	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:84162551-84163051_shuf_2	1931	3.24296	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:76585118-76585618_shuf_2	1980	3.21734	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:97963968-97964468_shuf_1	1330	3.21454	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:45499432-45499932	664	3.21431	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:97323993-97324493	425	3.20361	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr19:17397729-17398229_shuf_2	2693	3.18461	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:3345623-3346123_shuf_2	2460	3.13345	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:72858949-72859449	70	3.11178	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr19:5922114-5922614	875	3.10204	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:66351709-66352209	460	3.07627	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:108709855-108710355	476	3.06034	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:131327330-131327830_shuf_2	2133	3.03799	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr17:29067181-29067681	814	3.02702	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:89393524-89394024_shuf_2	2488	3.01872	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr1:175901565-175902065	47	3.00369	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr10:25440009-25440509_shuf_1	1403	3.00345	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:27135942-27136442	616	3.00251	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:113882350-113882850	645	2.9774	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr14:70506760-70507260	722	2.97096	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:111173961-111174461_shuf_2	1984	2.95713	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr16:34031620-34032120	784	2.95613	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:94195588-94196088	582	2.94684	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:74873192-74873692_shuf_2	2485	2.90405	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:19984028-19984528	406	2.90389	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:37405045-37405545_shuf_2	1875	2.87159	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:128850881-128851381	387	2.85211	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr15:22324756-22325256_shuf_1	1635	2.83108	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:25940384-25940884	348	2.8241	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:70740089-70740589	307	2.81703	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:40980319-40980819_shuf_1	1351	2.80422	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:65887979-65888479_shuf_1	1763	2.78031	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr16:90264255-90264755	794	2.77293	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:65887979-65888479_shuf_2	2667	2.72039	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:94151184-94151684_shuf_1	1585	2.70462	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:104483854-104484354_shuf_1	1156	2.70378	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:131582988-131583488_shuf_1	1100	2.69336	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr14:55043396-55043896_shuf_2	2519	2.68031	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:113537909-113538409	697	2.66117	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:41693214-41693714	621	2.63119	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr1:135693774-135694274	30	2.62284	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:33073878-33074378	160	2.61091	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:39901709-39902209_shuf_1	1020	2.57778	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:28369133-28369633_shuf_1	1129	2.56853	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:103324306-103324806	80	2.54343	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:80009667-80010167_shuf_1	1537	2.54184	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:145353762-145354262	147	2.5385	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr10:41632089-41632589_shuf_1	1409	2.5266	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:145353762-145354262_shuf_1	1051	2.49429	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:58030199-58030699_shuf_2	2366	2.49205	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:57679176-57679676	669	2.46351	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:78547883-78548383_shuf_1	1768	2.4536	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr9:118353187-118353687	482	2.4391	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:83345788-83346288	314	2.42795	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr10:25018818-25019318_shuf_2	2306	2.41969	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr16:30565672-30566172	779	2.41426	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:56860898-56861398	304	2.413	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:110018190-110018690_shuf_2	2449	2.38908	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:125244307-125244807	437	2.38126	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:32193432-32193932_shuf_2	2355	2.37508	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:81067498-81067998	679	2.37093	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr15:58719279-58719779_shuf_2	2549	2.36302	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:111007528-111008028	380	2.35969	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:144386181-144386681_shuf_1	1187	2.35654	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:76585118-76585618	172	2.34528	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:17246025-17246525	615	2.34288	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr11:100871193-100871693_shuf_1	1496	2.325	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr12:70884545-70885045_shuf_1	1532	2.32059	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:70740089-70740589_shuf_1	1211	2.3123	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr3:100351338-100351838	134	2.30919	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:132521379-132521879_shuf_1	998	2.30738	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:56860898-56861398_shuf_2	2112	2.3036	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr14:57022069-57022569_shuf_1	1618	2.29612	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr2:84852384-84852884	76	2.27389	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr8:107486055-107486555	428	2.26584	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr13:104819581-104820081	687	2.25936	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr15:58828418-58828918	742	2.2557	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr6:125826719-125827219_shuf_2	2132	2.25482	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:17334950-17335450_shuf_2	2030	2.25095	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:117601164-117601664	181	2.24529	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr14:111709090-111709590_shuf_1	1632	2.23737	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr17:91618496-91618996	840	2.23707	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr5:115468248-115468748_shuf_1	1163	2.23424	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr15:36250677-36251177	734	2.23137	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr7:107640798-107641298_shuf_1	1282	2.21646	fp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr15:95715578-95716078	763	2.2148	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr4:128287320-128287820	191	2.21393	tp
JASPAR2018_CORE_non-redundant.meme	MA0011.1	br(var.2)	chr18:75107911-75108411_shuf_2	2670	2.21242	fp
